,strain,age,group
20657-001,Sprague-Dawley,Adult,Severe TBI
20657-002,Sprague-Dawley,Adult,Sham
20657-003,Sprague-Dawley,Adult,Mild TBI
20657-004,Sprague-Dawley,Adult,Sham
20657-005,Sprague-Dawley,Adult,Severe TBI
20657-006,Sprague-Dawley,Adult,Severe TBI
20657-007,Sprague-Dawley,Adult,Mild TBI
20657-008,Sprague-Dawley,Adult,Sham
20657-010,Sprague-Dawley,Adult,Sham
20657-011,Sprague-Dawley,Adult,Mild TBI
20657-012,Sprague-Dawley,Adult,Naive
20657-013,Sprague-Dawley,Adult,Severe TBI
20657-014,Sprague-Dawley,Adult,Naive
20657-015,Sprague-Dawley,Adult,Sham
20657-016,Sprague-Dawley,Adult,Naive
20657-017,Sprague-Dawley,Adult,Mild TBI
20657-018,Sprague-Dawley,Adult,Mild TBI
20657-019,Sprague-Dawley,Adult,Severe TBI
20657-020,Sprague-Dawley,Adult,Naive
